category_id,listing_type_id,listing_type_fee
MLM3530,gold_special,0.15
MLM58500,gold_pro,0.165
MLM58500,gold_special,0.12
MLM194137,gold_pro,0.165
MLM194137,gold_special,0.12
MLM157927,gold_pro,0.195
MLM157927,gold_special,0.15
MLM193819,gold_pro,0.195
MLM193819,gold_special,0.15
MLM187612,gold_pro,0.195
MLM187612,gold_special,0.15
MLM81144,gold_pro,0.195
MLM81144,gold_special,0.15
MLM10085,gold_pro,0.195
MLM10085,gold_special,0.15
MLM189643,gold_pro,0.195
MLM189643,gold_special,0.15
MLM184768,gold_pro,0.195
MLM184768,gold_special,0.15
MLM50655,gold_pro,0.195
MLM50655,gold_special,0.15
MLM189363,gold_pro,0.185
MLM189363,gold_special,0.14
MLM180940,gold_pro,0.195
MLM180940,gold_special,0.15
MLM3095,gold_pro,0.195
MLM3095,gold_special,0.15
MLM189529,gold_pro,0.195
MLM189529,gold_special,0.15
MLM179778,gold_pro,0.195
MLM179778,gold_special,0.15
MLM189648,gold_pro,0.185
MLM189648,gold_special,0.14
MLM431787,gold_pro,0.195
MLM431787,gold_special,0.15
MLM178398,gold_pro,0.165
MLM178398,gold_special,0.12
MLM107712,gold_pro,0.195
MLM107712,gold_special,0.15
MLM69650,gold_pro,0.195
MLM69650,gold_special,0.15
MLM53801,gold_pro,0.195
MLM53801,gold_special,0.15
MLM184767,gold_pro,0.195
MLM184767,gold_special,0.15
MLM189305,gold_pro,0.195
MLM189305,gold_special,0.15
MLM31515,gold_pro,0.195
MLM31515,gold_special,0.15
MLM417357,gold_pro,0.165
MLM417357,gold_special,0.12
MLM372071,gold_pro,0.195
MLM372071,gold_special,0.15
MLM188521,gold_pro,0.165
MLM188521,gold_special,0.12
MLM81145,gold_pro,0.195
MLM81145,gold_special,0.15
MLM193939,gold_pro,0.165
MLM193939,gold_special,0.12
MLM180261,gold_pro,0.145
MLM180261,gold_special,0.1
MLM184769,gold_pro,0.195
MLM184769,gold_special,0.15
MLM180929,gold_pro,0.175
MLM180929,gold_special,0.13
MLM432930,gold_pro,0.175
MLM432930,gold_special,0.13
MLM167573,gold_pro,0.195
MLM167573,gold_special,0.15
MLM5107,gold_pro,0.195
MLM5107,gold_special,0.15
MLM189028,gold_pro,0.195
MLM189028,gold_special,0.15
MLM128037,gold_pro,0.145
MLM128037,gold_special,0.1
MLM194132,gold_pro,0.195
MLM194132,gold_special,0.15
MLM168332,gold_pro,0.185
MLM168332,gold_special,0.14
MLM437447,gold_pro,0.195
MLM437447,gold_special,0.15
MLM188288,gold_pro,0.195
MLM188288,gold_special,0.15
MLM416585,gold_pro,0.195
MLM416585,gold_special,0.15
MLM167566,gold_pro,0.195
MLM167566,gold_special,0.15
MLM4598,gold_pro,0.195
MLM4598,gold_special,0.15
MLM47781,gold_pro,0.195
MLM47781,gold_special,0.15
MLM191128,gold_pro,0.185
MLM191128,gold_special,0.14
MLM126132,gold_pro,0.195
MLM126132,gold_special,0.15
MLM145934,gold_pro,0.195
MLM145934,gold_special,0.15
MLM189026,gold_pro,0.195
MLM189026,gold_special,0.15
MLM116384,gold_pro,0.195
MLM116384,gold_special,0.15
MLM43686,gold_pro,0.185
MLM43686,gold_special,0.14
MLM31573,gold_pro,0.195
MLM31573,gold_special,0.15
MLM4605,gold_pro,0.195
MLM4605,gold_special,0.15
MLM432650,gold_pro,0.185
MLM432650,gold_special,0.14
MLM7836,gold_pro,0.195
MLM7836,gold_special,0.15
MLM189027,gold_pro,0.195
MLM189027,gold_special,0.15
MLM194645,gold_pro,0.195
MLM194645,gold_special,0.15
MLM116381,gold_pro,0.195
MLM116381,gold_special,0.15
MLM419980,gold_pro,0.195
MLM419980,gold_special,0.15
MLM1584,gold_pro,0.195
MLM1584,gold_special,0.15
MLM437522,gold_pro,0.195
MLM437522,gold_special,0.15
MLM45897,gold_pro,0.175
MLM45897,gold_special,0.13
MLM433718,gold_pro,0.185
MLM433718,gold_special,0.14
MLM8040,gold_pro,0.195
MLM8040,gold_special,0.15
MLM190010,gold_pro,0.175
MLM190010,gold_special,0.13
MLM178755,gold_pro,0.185
MLM178755,gold_special,0.14
MLM120038,gold_pro,0.195
MLM120038,gold_special,0.15
MLM4293,gold_pro,0.145
MLM4293,gold_special,0.1
MLM7567,gold_pro,0.145
MLM7567,gold_special,0.1
MLM430535,gold_pro,0.175
MLM430535,gold_special,0.13
MLM438480,gold_pro,0.145
MLM438480,gold_special,0.1
MLM417715,gold_pro,0.195
MLM417715,gold_special,0.15
MLM1588,gold_pro,0.195
MLM1588,gold_special,0.15
MLM194128,gold_pro,0.145
MLM194128,gold_special,0.1
MLM171817,gold_pro,0.195
MLM171817,gold_special,0.15
MLM189629,gold_pro,0.165
MLM189629,gold_special,0.12
MLM189432,gold_pro,0.145
MLM189432,gold_special,0.1
MLM44572,gold_pro,0.145
MLM44572,gold_special,0.1
MLM30035,gold_pro,0.195
MLM30035,gold_special,0.15
MLM171811,gold_pro,0.195
MLM171811,gold_special,0.15
MLM434731,gold_pro,0.195
MLM434731,gold_special,0.15
MLM171805,gold_pro,0.195
MLM171805,gold_special,0.15
MLM1009,gold_pro,0.195
MLM1009,gold_special,0.15
MLM189344,gold_pro,0.195
MLM189344,gold_special,0.15
MLM44588,gold_pro,0.195
MLM44588,gold_special,0.15
MLM189351,gold_pro,0.145
MLM189351,gold_special,0.1
MLM190913,gold_pro,0.195
MLM190913,gold_special,0.15
MLM434342,gold_pro,0.195
MLM434342,gold_special,0.15
MLM120005,gold_pro,0.195
MLM120005,gold_special,0.15
MLM190072,gold_pro,0.145
MLM190072,gold_special,0.1
MLM409814,gold_pro,0.145
MLM409814,gold_special,0.1
MLM189223,gold_pro,0.145
MLM189223,gold_special,0.1
MLM194372,gold_pro,0.195
MLM194372,gold_special,0.15
MLM117519,gold_pro,0.195
MLM117519,gold_special,0.15
MLM178505,gold_pro,0.185
MLM178505,gold_special,0.14
MLM434371,gold_pro,0.195
MLM434371,gold_special,0.15
MLM188714,gold_pro,0.195
MLM188714,gold_special,0.15
MLM193854,gold_pro,0.195
MLM193854,gold_special,0.15
MLM12953,gold_pro,0.195
MLM12953,gold_special,0.15
MLM167442,gold_pro,0.195
MLM167442,gold_special,0.15
MLM6143,gold_pro,0.195
MLM6143,gold_special,0.15
MLM167980,gold_pro,0.145
MLM167980,gold_special,0.1
MLM1055,gold_pro,0.145
MLM1055,gold_special,0.1
MLM1656,gold_pro,0.145
MLM1656,gold_special,0.1
MLM1676,gold_pro,0.195
MLM1676,gold_special,0.15
MLM126075,gold_pro,0.145
MLM126075,gold_special,0.1
MLM40393,gold_pro,0.195
MLM40393,gold_special,0.15
MLM189948,gold_pro,0.185
MLM189948,gold_special,0.14
MLM436279,gold_pro,0.195
MLM436279,gold_special,0.15
MLM1166,gold_pro,0.195
MLM1166,gold_special,0.15
MLM10727,gold_pro,0.145
MLM10727,gold_special,0.1
MLM180918,gold_pro,0.185
MLM180918,gold_special,0.14
MLM38508,gold_pro,0.195
MLM38508,gold_special,0.15
MLM179780,gold_pro,0.195
MLM179780,gold_special,0.15
MLM32641,gold_pro,0.195
MLM32641,gold_special,0.15
MLM191615,gold_pro,0.175
MLM191615,gold_special,0.13
MLM39945,gold_pro,0.195
MLM39945,gold_special,0.15
MLM126303,gold_pro,0.195
MLM126303,gold_special,0.15
MLM190877,gold_pro,0.195
MLM190877,gold_special,0.15
MLM438195,gold_pro,0.195
MLM438195,gold_special,0.15
MLM179610,gold_pro,0.185
MLM179610,gold_special,0.14
MLM4117,gold_pro,0.145
MLM4117,gold_special,0.1
MLM168673,gold_pro,0.195
MLM168673,gold_special,0.15
MLM10115,gold_pro,0.195
MLM10115,gold_special,0.15
MLM413650,gold_pro,0.195
MLM413650,gold_special,0.15
MLM16090,gold_pro,0.185
MLM16090,gold_special,0.14
MLM120203,gold_pro,0.165
MLM120203,gold_special,0.12
MLM57931,gold_pro,0.195
MLM57931,gold_special,0.15
MLM5387,gold_pro,0.185
MLM5387,gold_special,0.14
MLM81644,gold_pro,0.195
MLM81644,gold_special,0.15
MLM11187,gold_pro,0.195
MLM11187,gold_special,0.15
MLM149102,gold_pro,0.145
MLM149102,gold_special,0.1
MLM191714,gold_pro,0.195
MLM191714,gold_special,0.15
MLM40390,gold_pro,0.195
MLM40390,gold_special,0.15
MLM185725,gold_pro,0.155
MLM185725,gold_special,0.11
MLM54182,gold_pro,0.145
MLM54182,gold_special,0.1
MLM39966,gold_pro,0.195
MLM39966,gold_special,0.15
MLM179749,gold_pro,0.195
MLM179749,gold_special,0.15
MLM168014,gold_pro,0.185
MLM168014,gold_special,0.14
MLM194211,gold_pro,0.195
MLM194211,gold_special,0.15
MLM194183,gold_pro,0.195
MLM194183,gold_special,0.15
MLM1341,gold_pro,0.195
MLM1341,gold_special,0.15
MLM1717,gold_pro,0.145
MLM1717,gold_special,0.1
MLM457081,gold_pro,0.145
MLM457081,gold_special,0.1
MLM191762,gold_pro,0.145
MLM191762,gold_special,0.1
MLM192717,gold_pro,0.195
MLM192717,gold_special,0.15
MLM445788,gold_pro,0.195
MLM445788,gold_special,0.15
MLM194182,gold_pro,0.195
MLM194182,gold_special,0.15
MLM187802,gold_pro,0.195
MLM187802,gold_special,0.15
MLM184821,gold_pro,0.195
MLM184821,gold_special,0.15
MLM437885,gold_pro,0.195
MLM437885,gold_special,0.15
MLM167993,gold_pro,0.175
MLM167993,gold_special,0.13
MLM171807,gold_pro,0.195
MLM171807,gold_special,0.15
MLM190795,gold_pro,0.195
MLM190795,gold_special,0.15
MLM193322,gold_pro,0.195
MLM193322,gold_special,0.15
MLM126304,gold_pro,0.195
MLM126304,gold_special,0.15
MLM189410,gold_pro,0.195
MLM189410,gold_special,0.15
MLM456045,gold_pro,0.195
MLM456045,gold_special,0.15
MLM112156,gold_pro,0.195
MLM112156,gold_special,0.15
MLM120031,gold_pro,0.195
MLM120031,gold_special,0.15
MLM194113,gold_pro,0.195
MLM194113,gold_special,0.15
MLM189902,gold_pro,0.185
MLM189902,gold_special,0.14
MLM189620,gold_pro,0.195
MLM189620,gold_special,0.15
MLM167967,gold_pro,0.195
MLM167967,gold_special,0.15
MLM420275,gold_pro,0.165
MLM420275,gold_special,0.12
MLM187620,gold_pro,0.195
MLM187620,gold_special,0.15
MLM194119,gold_pro,0.195
MLM194119,gold_special,0.15
MLM189825,gold_pro,0.165
MLM189825,gold_special,0.12
MLM432585,gold_pro,0.185
MLM432585,gold_special,0.14
MLM455414,gold_pro,0.145
MLM455414,gold_special,0.1
MLM32230,gold_pro,0.175
MLM32230,gold_special,0.13
MLM7222,gold_pro,0.145
MLM7222,gold_special,0.1
MLM131445,gold_pro,0.145
MLM131445,gold_special,0.1
MLM5217,gold_pro,0.195
MLM5217,gold_special,0.15
MLM9933,gold_pro,0.145
MLM9933,gold_special,0.1
MLM189583,gold_pro,0.145
MLM189583,gold_special,0.1
MLM1912,gold_pro,0.145
MLM1912,gold_special,0.1
MLM109928,gold_pro,0.195
MLM109928,gold_special,0.15
MLM192052,gold_pro,0.195
MLM192052,gold_special,0.15
MLM120234,gold_pro,0.145
MLM120234,gold_special,0.1
MLM131446,gold_pro,0.195
MLM131446,gold_special,0.15
MLM5071,gold_pro,0.195
MLM5071,gold_special,0.15
MLM63144,gold_pro,0.145
MLM63144,gold_special,0.1
MLM430263,gold_pro,0.145
MLM430263,gold_special,0.1
MLM7621,gold_pro,0.195
MLM7621,gold_special,0.15
MLM193828,gold_pro,0.195
MLM193828,gold_special,0.15
MLM71692,gold_pro,0.195
MLM71692,gold_special,0.15
MLM5068,gold_pro,0.195
MLM5068,gold_special,0.15
MLM455203,gold_pro,0.165
MLM455203,gold_special,0.12
MLM420246,gold_pro,0.145
MLM420246,gold_special,0.1
MLM4222,gold_pro,0.145
MLM4222,gold_special,0.1
MLM38947,gold_pro,0.145
MLM38947,gold_special,0.1
MLM38205,gold_pro,0.145
MLM38205,gold_special,0.1
MLM179927,gold_pro,0.195
MLM179927,gold_special,0.15
MLM430184,gold_pro,0.145
MLM430184,gold_special,0.1
MLM428995,gold_pro,0.145
MLM428995,gold_special,0.1
MLM7552,gold_pro,0.195
MLM7552,gold_special,0.15
MLM438386,gold_pro,0.195
MLM438386,gold_special,0.15
MLM429731,gold_pro,0.195
MLM429731,gold_special,0.15
MLM171884,gold_pro,0.195
MLM171884,gold_special,0.15
MLM104357,gold_pro,0.145
MLM104357,gold_special,0.1
MLM430108,gold_pro,0.195
MLM430108,gold_special,0.15
MLM38963,gold_pro,0.145
MLM38963,gold_special,0.1
MLM38981,gold_pro,0.145
MLM38981,gold_special,0.1
MLM437436,gold_pro,0.195
MLM437436,gold_special,0.15
MLM167546,gold_pro,0.195
MLM167546,gold_special,0.15
MLM167556,gold_pro,0.195
MLM167556,gold_special,0.15
MLM167988,gold_pro,0.195
MLM167988,gold_special,0.15
MLM189753,gold_pro,0.165
MLM189753,gold_special,0.12
MLM193736,gold_pro,0.195
MLM193736,gold_special,0.15
MLM194390,gold_pro,0.195
MLM194390,gold_special,0.15
MLM405114,gold_pro,0.145
MLM405114,gold_special,0.1
MLM418076,gold_pro,0.195
MLM418076,gold_special,0.15
MLM431836,gold_pro,0.145
MLM431836,gold_special,0.1
MLM40394,gold_pro,0.195
MLM40394,gold_special,0.15
MLM179640,gold_pro,0.195
MLM179640,gold_special,0.15
MLM189203,gold_pro,0.195
MLM189203,gold_special,0.15
MLM191014,gold_pro,0.145
MLM191014,gold_special,0.1
MLM187622,gold_pro,0.195
MLM187622,gold_special,0.15
MLM189485,gold_pro,0.195
MLM189485,gold_special,0.15
MLM185255,gold_pro,0.145
MLM185255,gold_special,0.1
MLM405148,gold_pro,0.145
MLM405148,gold_special,0.1
